paper_id,paper_short_name,source_table,table_title,data_group,source_study,airflow_normal_m3_s,z_m,b_m,U_m_s,q_m3_s,gamma,alpha,W,value_basis,source,doi,notes
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.0005,0.96,0.085,0.537,0.0004,1.74,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.0005,1.58,0.125,0.441,0.0004,2.0,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.0005,2.2,0.161,0.426,0.0004,1.85,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.0005,2.78,0.2,0.442,0.0005,1.44,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00118,0.32,0.039,0.896,0.0009,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00118,0.96,0.099,0.628,0.0009,2.02,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00118,1.58,0.138,0.507,0.001,2.66,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00118,2.2,0.182,0.478,0.001,2.51,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00118,2.78,0.248,0.49,0.0011,1.69,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00234,0.32,0.048,1.017,0.0018,,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00234,0.96,0.116,0.691,0.0018,2.28,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00234,1.58,0.168,0.569,0.0019,2.7,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00234,2.2,0.222,0.556,0.002,2.35,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 1,Primary measurement-height plume properties,primary,Milgram & Van Houten data,0.00234,2.78,0.288,0.575,0.0022,1.7,,,smooth values at measurement heights,"Milgram (1983), Table 1",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.024,9.23,0.86,0.817,0.0047,,0.06,0.29,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.024,21.05,1.77,0.492,0.0062,,0.037,0.183,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.024,31.71,2.22,0.52,0.0085,,0.056,0.244,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.024,40.86,2.68,0.557,0.0126,,0.067,0.122,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.024,45.43,3.04,0.535,0.0165,,0.063,0.061,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.118,9.23,0.99,1.203,0.0234,,0.072,0.29,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.118,21.05,2.1,0.843,0.0304,,0.076,0.183,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.118,31.71,3.05,0.831,0.0419,,0.096,0.244,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.118,40.86,4.0,0.79,0.0618,,0.085,0.122,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.283,9.23,1.34,1.425,0.056,,0.108,0.29,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.283,21.05,2.97,1.04,0.073,,0.111,0.183,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.283,31.71,4.47,0.938,0.1004,,0.133,0.244,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.283,40.86,5.88,0.883,0.1483,,0.144,0.122,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
milgram_1983,Milgram 1983,Table 2,Primary entrainment-coefficient data at midpoint heights,primary,Bugg Spring experiment data,0.283,45.43,6.67,0.842,0.1946,,0.135,0.061,midpoint averages between measurement heights,"Milgram (1983), Table 2",https://doi.org/10.1017/S0022112083001950,"Selected dimensional tabular data. Blank gamma, alpha, or W cells indicate the variable is not reported for that table/row."
